pairs,labels
"Michael Hotz 156858248X 9781568582481 272 April 13th 2003 Da Capo Press Holding the Lotus to the Rock: The Autobiography of Sokei-an, America's First Zen Master [SEP] Michael Hotz Shigetsu Sasaki 9781568582481 265 12/15/02 Da Capo Press Holding the Lotus to the Rock: The Autobiography of Sokei-an, America's First Zen Master",1
"Mark Twain 1484003187 9781484003183 306 April 1st 2013 Createspace Chapters from My Autobiography [SEP] Mark Twain 9780766161375 376 6/28/03 Kessinger Publishing Company Mark Twain's Autobiography, Volume 2",0
"Shabkar Tsogdruk Rangdrol 1559391545 9781559391542 712 February 6th 2001 Snow Lion Dalai Lama XIV Dilgo Khyentse Rinpoche The Life of Shabkar: Autobiography of a Tibetan Yogin [SEP] Matthieu Ricard 9781559391542 712 2/28/01 Shambhala Publications, Inc. The Life Of Shabkar: Autobiography Of A Tibetan Yogin / Edition 1",0
Nol Coward 413158306 9780413158307 526 June 1st 1987 Methuen Publishing Noel Coward Autobiography (The Autobiography #1-2) [SEP] Nol Coward 9780413733801 528 9/1/03 Bloomsbury USA Noel Coward:Autobiography,0
Andrew Taylor Still 1145986773 500 February 26th 2010 Nabu Press Autobiography of Andrew T. Still [SEP] Andrew Taylor Still 2940026620111 The author Autobiography of Andrew T. Still: With a History of the Discovery and Development of the Science ...,0
Howard Thurman 015697648X 9780156976480 304 October 14th 1981 Mariner Books With Head and Heart: The Autobiography of Howard Thurman [SEP] Howard Thurman 9780156976480 298 10/14/81 Houghton Mifflin Harcourt With Head And Heart,1
Rudy Galindo 671003909 9780671003906 272 April 1st 1997 Atria Eric Marcus Icebreaker the Autobiography of Rudy Galindo [SEP] Rudy Galindo 9780671003906 255 4/28/97 Atria Books Icebreaker: The Autobiography of Rudy Galindo,1
"Mark Twain 704 October 2nd 1990 Gramercy Mark Twain: Selected Works, Deluxe Edition (Burlesque Autobiography/the Prince) [SEP] Mark Twain 9780766161375 376 6/28/03 Kessinger Publishing Company Mark Twain's Autobiography, Volume 2",0
"William Henry Hudson 1443733849 9781443733847 314 November 4th 2008 Pomona Press Far Away and Long Ago - Autobiography of His Youth [SEP] William Henry Seward 2940017335710 New York, D. Appleton and company Autobiography of William H. Seward, from 1801 to 1834. With a memoir of his life, and selections from his letters from 1831 to 1846",0
"Unknown Author 193 140032126 9780140032123 0 Light On A Dark Horse - An Autobiography [SEP] Unknown Author 9781330303962 366 7/2/15 FB &amp;c Ltd Edward Wortley Montagu, Vol. 1 of 3: An Autobiography (Classic Reprint)",0
Michel Tournier 807070408 9780807070406 259 January 1st 1988 Beacon Press (MA) Arthur Goldhammer The Wind Spirit: An Autobiography [SEP] Michel Tournier 9780807070406 292 11/28/88 Beacon Wind Spirit: An Autobiography,1
"Kathleen Raine 807608777 9780807608777 0 George Braziller The Lion's Mouth: Concluding Chapters Of Autobiography [SEP] Kathleen Raine 9780807608777 192 2/1/78 Braziller, George Inc. Lion's Mouth: Concluding Chapters of Autobiography",1
"Marcus Allen 312169248 9780312169244 352 August 15th 1997 St. Martin's Press          ""] Carlton Stowers Marcus: The Autobiography of Marcus Allen [SEP] Marcus Allen Carlton Stowers 9781466889743 352 1/13/15 St. Martin's Press Marcus: The Autobiography of Marcus Allen",1
"Benjamin Franklin 1616405511 9781616405519 320 November 1st 2011 Cosimo Classics The Autobiography of Benjamin Franklin Including Poor Richard's Almanac, and Familiar Letters [SEP] Benjamin Franklin 9780940450295 1632 1/28/87 Library of America Benjamin Franklin: Writings (The Autobiography, Poor Richard's Almanack, Bagatelles, Pamphlets, Essays, & Letters) (Library of America)",0
"Mark Twain 766161366 9780766161368 386 June 5th 2003 Kessinger Publishin Albert Bigelow Paine Mark Twain's Autobiography, Part 1 [SEP] Mark Twain 9780520952447 440 3/26/12 University of California Press Autobiography of Mark Twain: Volume 1, Reader's Edition",0
"Anthony Trollope 368 October 9th 2014 OUP Oxford Nicholas Shrimpton An Autobiography: and Other Writings [SEP] Anthony Trollope 2940012207586 3/4/11 Milsap Publishers Anthony Trollope: a classic collection of his novels (American Senator, Autobiography of Anthony Trollope, Ayala's Angel, Barchester Towers, Belton Estate, Bertrams, Can You Forgive Her? and more)",0
"Mark Twain 1484003187 9781484003183 306 April 1st 2013 Createspace Chapters from My Autobiography [SEP] Mark Twain 2940011919084 11/3/10 WHITE DOG PUBLISHING A Burlesque Autobiography and, First Romance",0
"Benjamin Franklin 1596590459 9781596590458 0 June 6th 2006 Your Coach Digital Wealth and Wisdom: The Way to Wealth and The Autobiography of Benjamin Franklin: Two Timeless American Classics That Still Speak to Us Today [SEP] Benjamin Franklin 2940017678008 New York, London, Macmillan Co Autobiography of Benjamin Franklin; with an introduction and notes",0
"Benjamin Franklin 1275666787 9781275666788 568 February 1st 2012 Gale Ecc Benjamin Franklin: His Autobiography. [SEP] Benjamin Franklin Ben Franklin Poor Richard 9781611043297 182 12/28/10 ReadaClassic.com The Autobiography of Benjamin Franklin: In His Own Words, the Life of the Inventor, Philosopher, Satirist, Political Theorist, Statesman, and Diplomat",0
Benjamin Franklin 140390529 9780140390520 304 January 7th 1986 Penguin Classics Kenneth A. Silverman The Autobiography and Other Writings [SEP] Benjamin Franklin Russel B. Nye 9780395051306 224 1/2/57 Cengage Learning Autobiography and Other Writings / Edition 1,0
"Benjamin Franklin 1616405511 9781616405519 320 November 1st 2011 Cosimo Classics The Autobiography of Benjamin Franklin Including Poor Richard's Almanac, and Familiar Letters [SEP] Benjamin Franklin 9781298188465 274 2/18/15 Scholar's Choice The Autobiography of Benjamin Franklin - Scholar's Choice Edition",0
Marion Harland 1142608824 9781142608828 522 January 12th 2010 Nabu Press Autobiography: The Story of a Long Life [SEP] Marion Harland 9781492353287 298 9/7/13 CreateSpace Independent Publishing Platform Marion Harland's Autobiography: The Story of a Long Life,0
