pairs,labels
"Sandy Lyle 755314727 9780755314720 320 May 31st 2007 Headline Book Publishing Robert Philip Seve Ballesteros To the Fairway Born: The Autobiography [SEP] Sandy Lyle   9780755314720 320 5/31/07 ""Headline Book Publishing  Limited""",1
"Unknown Author 193 140032126 9780140032123 0     Light On A Dark Horse - An Autobiography [SEP] Unknown Author   9781330161746 228 6/25/15 FB &amp;c Ltd ""Jack Westropp",0
Mazo de la Roche 855948116 9780855948115 0     Ringing The Changes: An Autobiography [SEP] Jeanne Marie Bouvier de la Motte Guyon l Summary & Study Guide   2940013005020  8/20/11 BookRags.com Experiencing the Depth of Jesus Christ: The Autobiography,0
Anne Halkett 1141373211 9781141373215 158 January 10th 2010 Nabu Press   The Autobiography of Anne Lady Halkett [SEP] John Gough Nichols Anne Halkett   2940017595343   Printed for the Camden Society The Autobiography of Anne Lady Halkett,0
"John Howard Swanson 964694603 9780964694606 338 September 1st 1995 Vitality Pubns Laurel O. Cook  Confessions of an Art Dealer: An Autobiography [SEP] John Howard Brown   2940020559660   ""Boston  Mass.",0
"Unknown Author 440   0 1978 Personal Christianity   Maranatha Man: An Autobiography [SEP] Unknown Author   9781330066676 386 6/14/15 FB &amp;c Ltd ""The Autobiography of Charles H. Spurgeon",0
"Thomas Jefferson   0     ""Works of Thomas Jefferson. Including The Jefferson Bible [SEP]  Autobiography and The Writings of Thomas Jefferson (Illustrated)  with Notes on Virginia  Parliamentary ... more."" Thomas Jefferson   9781607783091 ",0
"Mazo de la Roche 855948116 9780855948115 0     Ringing The Changes: An Autobiography [SEP] Jeanne-Marie de la Motte-Guyon   9780768498103 450 7/28/11 ""Destiny Image  Inc.""",0
"Jon E. Lewis 1849017204 9781849017206 320     SAS: The Autobiography [SEP] Jon E. Lewis   9781780337500 480 3/1/12 ""Little  Brown Book Group""",0
"Mark Twain   704 October 2nd 1990 Gramercy   ""Mark Twain: Selected Works [SEP]  Deluxe Edition (Burlesque Autobiography/the Prince)"" Mark Twain   2940016310794  2/13/13 Unforgotten Classics",0
Laurence Olivier 140068880 9780140068887 36 January 3rd 1984 Penguin Books   Confessions of an Actor: An Autobiography [SEP] Laurence Olivier   9781857974935  11/3/94 Gardners Books Confessions of an Actor : The Autobiography,0
Theodore Roosevelt 1604596198 9781604596199 696 January 4th 2009 Wilder Publications   Bully! Three Autobiographies by Theodore Roosevelt [SEP] Theodore Roosevelt   9781411439252 633 3/1/11 Barnes &amp; Noble An Autobiography (Barnes & Noble Digital Library),0
Theodore Roosevelt   523 April 1st 2015 Chios Classics   Autobiography of Theodore Roosevelt [SEP] Theodore Roosevelt   9781502958662 536 3/5/15 CreateSpace Publishing Theodore Roosevelt; an Autobiography,1
Booker T. Washington   202 July 28th 2015 Chios Classics   Up From Slavery: An Autobiography [SEP] Booker T. Washington   9780806521831 330 1/28/01 Kensington Up From Slavery: The Autobiography Of Booker T. Washington: Aun Autobiography,0
Usain Bolt 7371411 9780007371419 320 September 12th 2013 HarperSport   Faster than Lightning: My Autobiography [SEP] Usain Bolt   9780007523658 320 9/12/13 HarperCollins Publishers Faster than Lightning: My Autobiography,1
Myles Horton 807737003 9780807737002 167 July 2nd 1997 Teachers College Press Herbert R. Kohl Judith Kohl The Long Haul: An Autobiography [SEP] Myles Horton   9780807737002 256 8/1/03 Teachers College Press The Long Haul: An Autobiography / Edition 1,1
Edwin Eastman   329     Seven and Nine years Among the Camanches and Apaches An Autobiography [SEP] Edwin Eastman Clark Johnson  9781296853433 336 8/13/15 Andesite Press Seven And Nine Years Among The Camanches And Apaches: An Autobiography,0
Benjamin Franklin   0   John Woolman William Penn Harvard Classics Volume 1: The Autobiography of Benjamin Franklin; The Journal of John Woolman; Some Fruits of Solitude [SEP] Benjamin Franklin Russel B. Nye  9780395051306 224 1/2/57 Cengage Learning Autobiography and Other Writings / Edition 1,0
Betty Boothroyd 712679480 9780712679480 384 November 1st 2002 Random House UK   Betty Boothroyd: Autobiography [SEP] Betty Boothroyd   9780099427049 434 10/28/02 Random House UK Betty Boothroyd Autobiography,1
Benjamin Franklin   0   John Woolman William Penn Harvard Classics Volume 1: The Autobiography of Benjamin Franklin; The Journal of John Woolman; Some Fruits of Solitude [SEP] Benjamin Franklin   9781512149340 132 5/11/15 CreateSpace Publishing Autobiography of Benjamin Franklin: A Founding Father,0
Jeanne Marie Bouvier de la Motte Guyon 1595479260 9781595479266 212 March 20th 2007 Nuvision Publications   Autobiography of Madame Guyon [SEP] Mazo de la Roche   9781459730397 304 11/7/15 Dundurn Press Ringing the Changes: An Autobiography,0
"Mark Twain   46 2009 bibliolife   ""Mark Twain's Burlesque Autobiography; and [SEP]  First Romance"" Mark Twain   9782819913436  12/2/10 pubOne.info",0
"Katie Price 1844541320 9781844541324 288 July 1st 2005 John Blake   Being Jordan: My Autobiography [SEP] Katie Price   9781843582434 288 7/1/05 ""John Blake Publishing  Limited""",1
Booker T. Washington   202 July 28th 2015 Chios Classics   Up From Slavery: An Autobiography [SEP] Booker T. Washington   9780806521831 330 1/28/01 Kensington Up From Slavery: The Autobiography Of Booker T. Washington: Aun Autobiography,0
Natalie M. Rosinsky 756535255 9780756535254 64 January 1st 2008 Compass Point Books   Write Your Own Autobiography [SEP] Natalie M. Rosinsky   9780756535254 24 1/28/08 Capstone Press Write Your Own Autobiography,1
W. Somerset Maugham 014018595X 9780140185959 200 November 1st 1992 Penguin Classics   The Magician: Together with a Fragment of Autobiography [SEP] W. Somerset Maugham   9780140026689 208 8/31/78 Penguin Group (USA) Incorporated Magician: Together with a Fragment of Autobiography,0
"Tony Visconti 7229453 9780007229451 400 April 28th 2008 HarperCollins UK Morrissey  ""Tony Visconti: The Autobiography: Bowie [SEP]  Bolan and the Brooklyn Boy"" Tony Visconti   9780007343577 400 9/17/09 HarperCollins Publishers",1
"Mark Twain 520272781 9780520272781 776 October 5th 2013 University of California Press Benjamin Griffin Harriet E. Smith ""Autobiography of Mark Twain [SEP]  Volume 2: The Complete and Authoritative Edition"" Mark Twain Grover Gardner  9781504637169  10/15/15 ""Blackstone Audio",0
"John G. Fitch 871691132 9780871691132 0     The Autobiography Of John Fitch [SEP] John G. Neihardt   9780803257245 248 9/1/70 University of Nebraska Press ""When the Tree Flowered: The Fictional Autobiography of Eagle Voice",0
"Benjamin Franklin 1616405511 9781616405519 320 November 1st 2011 Cosimo Classics   ""The Autobiography of Benjamin Franklin Including Poor Richard's Almanac [SEP]  and Familiar Letters"" Benjamin Franklin   9781298188465 274 2/18/15 Scholar's Choice",0
"Mike Ditka 933893078 9780933893078 0 May 31st 1982 Bonus Books Don Pierson  ""Ditka [SEP]  An Autobiography"" Mike Ditka Don Pierson  9780933893382 271 7/1/86 ""Bonus Books",1
Nol Coward 413158306 9780413158307 526 June 1st 1987 Methuen Publishing   Noel Coward Autobiography (The Autobiography #1-2) [SEP] Nol Coward   9780413733801 528 9/1/03 Bloomsbury USA Noel Coward:Autobiography,0
Granta: The Magazine of New Writing 140075674 9780140075670 256 May 1st 1999 Granta Books Bill Buford  Granta 14: Autobiography (Granta #14) [SEP] Dior: The Autobiography of Christian Dior   9781851776719 192 9/1/07 V&amp;A Publishing Dior,0
"William L. Andrews 252060334 9780252060335 368 May 1st 1988 University of Illinois Press   ""To Tell a Free Story: The First Century of Afro-American Autobiography [SEP]  1760-1865"" William L. Andrews   9780451471444 496 12/2/14 Penguin Publishing Group",0
Charles Darwin   511     On The Origin of Species Illustrated and Bundled with the Autobiography [SEP] Charles Darwin   9781411429178 464 9/1/09 Barnes &amp; Noble The Autobiography of Charles Darwin (Barnes & Noble Library of Essential Reading),0
"Unknown Author 193 140032126 9780140032123 0     Light On A Dark Horse - An Autobiography [SEP] Unknown Author   9781330949276 218 7/8/15 FB &amp;c Ltd ""The Autobiography of a Beggar Boy: In Which Will Be Found Related the Numerous Trials",0
"Booker T. Washington 554361167 9780554361161 224 August 18th 2008 BiblioLife   Up from Slavery: An Autobiography [SEP] Booker T. Washington   9781627557863 148 6/10/15 ""Wilder Publications  Inc.""",0
"Thomas Jefferson   115 December 14th 2009 Digireads.com   The Autobiography of Thomas Jefferson [SEP] Thomas Jefferson   2940030532790   ""Washington  D.C. Issued under the auspices of the Thomas Jefferson Memorial Association""",0
Mark Twain   311 December 7th 2014 Original Classics Albert Bigelow Paine  Autobiography of Mark Twain [ Volume 2 ] [SEP] Roy J . Friedman Mark Twain Collection Mark Twain   2940018903741   Harper &amp; Brothers Publishers Is Shakespeare Dead?: From My Autobiography,0
Ida B. Wells-Barnett 226893448 9780226893440 466 July 23rd 1991 University Of Chicago Press Ada B. Wells Alfreda M. Duster Crusade for Justice: The Autobiography of Ida B. Wells [SEP] Ida B. Wells Ada B. Wells  9780226893440 466 7/28/91 University of Chicago Press Crusade for Justice: The Autobiography of IDA B. Wells,1
"Benjamin Franklin 1596590459 9781596590458 0 June 6th 2006 Your Coach Digital   Wealth and Wisdom: The Way to Wealth and The Autobiography of Benjamin Franklin: Two Timeless American Classics That Still Speak to Us Today [SEP] Benjamin Franklin   2940017484579   Philadelphia : J.B. Lippincott ; London : Trbner &amp; Co ""Autobiography of Benjamin Franklin : edited from his manuscript",0
"John C. Holmes   192 February 7th 2012 BearManor Media Laurie Holmes  Porn King: The Autobiography of John C. Holmes [SEP] John C. Hermon   9780717125913 280 1/1/97 ""Gill &amp; MacMillan  Limited""",0
"Mark Twain   0     Burlesque Autobiography & Diary Written in the Provincial Lunatic Asylum [SEP] Mark Twain   9780520952447 440 3/26/12 University of California Press ""Autobiography of Mark Twain: Volume 1",0
"Mark Twain 1113779543 9781113779540 158 September 22nd 2009 BiblioLife   Is Shakespeare Dead? from My Autobiography [SEP] Mark Twain   2940016310794  2/13/13 Unforgotten Classics ""Autobiography of Mark Twain",0
"Mark Twain 520279948 9780520279940 792   Harriet E. Smith Benjamin Griffin ""Autobiography of Mark Twain [SEP]  Volume 3: The Complete and Authoritative Edition"" Mark Twain   2940011919084  11/3/10 WHITE DOG PUBLISHING",0
James Weldon Johnson 030680929X 9780306809293 440 January 14th 2000 Da Capo Press Sondra K. Wilson  Along This Way: The Autobiography of James Weldon Johnson [SEP] James Weldon Johnson l Summary & Study Guide   2940150040571  2/12/15 BookRags.com The Autobiography of an Ex-Coloured Man,0
Swami Muktananda 911307818 9780911307818 368 January 1st 2000 Siddha Yoga Publications Swami Chidvilasananda Paul Muller-Ortega Play of Consciousness: A Spiritual Autobiography [SEP] Gurumayi Chidvilasananda   9780911307818 368 1/28/00 S Y D A Foundation Play of Consciousness: A Spiritual Autobiography,1
"Mark Twain   24     Mark Twain's Burlesque Autobiography [SEP] Mark Twain   9780766161375 376 6/28/03 Kessinger Publishing Company ""Mark Twain's Autobiography",0
"Anna Cora Ogden 217686702 9780217686709 449 2009 General Books LLC   Autobiography of an Actress (1854) [SEP] Anna Cora Ogden Mowatt Ritchie   2940026619948   ""Ticknor  Reed",0
"Mark Twain   0     Burlesque Autobiography & Diary Written in the Provincial Lunatic Asylum [SEP] Mark Twain Grover Gardner  9781441778475  1/28/11 Findaway World ""Autobiography of Mark Twain",0
Booker T. Washington   511 Feb-65 Avon Books W.E.B. Du Bois James Weldon Johnson Three Negro Classics (Up From Slavery; The Souls of Black Folk; The Autobiography of an Ex-Colored Man) [SEP] Booker T. Washington   9783849644024 451 5/5/14 Jazzybee Verlag An Autobiography - The Story of My Life and Work,0
