pairs,labels
Todd Strauss-Schulson The Final Girls 2015 [SEP] Tom Hooper The Danish Girl 2014 2015 2016,0
James Westby The Auteur 2008 [SEP] James Wan Dead Silence 2006 2007 2008,0
Sam Raimi For Love of the Game 1999 [SEP] Sam Raimi For Love of the Game 1998 1999 2000,1
Jeremy Berg The Invoking 2013 [SEP] Ralph Fiennes The Invisible Woman 2012 2013 2014,0
Daniel Barnz Cake 2014 [SEP] Daniel Barber The Keeping Room 2014 2015 2016,0
Chuck Russell The Mask 1994 [SEP] Carl Colpaert The Crew 1994 1995 1996,0
Adam Egypt Mortimer Some Kind of Hate 2015 [SEP] Adam Egypt Mortimer Some Kind of Hate 2014 2015 2016,1
"""Warren Beatty Buck Henry"" Heaven Can Wait [SEP] 1978 ""Warren Beatty Buck Henry""",1
Steve Miner Wild Hearts Can't Be Broken 1991 [SEP] David Lynch Wild At Heart 1989 1990 1991,0
"""George Jackson Doug McHenry"" House Party 2 [SEP] 1991 ""Doug McHenry George Jackson""",1
Amy Berg Janis: Little Girl Blue 2015 [SEP] Amy Berg Every Secret Thing 2014 2015 2016,0
Xavier Manrique Chronically Metropolitan 2016 [SEP] David McVicar The Metropolitan Opera: Cavalleria Rusticana/pagliacci 2014 2015 2016,0
Peter Weir The Way Back 2010 [SEP] Eric D. Anderson (III) Way Of The Puck 2009 2010 2011,0
Eric Schaeffer Mind the Gap 2004 [SEP] Kevin Spacey Beyond the Sea 2003 2004 2005,0
"Sara Colangelo Little Accidents 2014 [SEP] ""James Adolphus Lacey Schwartz"" Little White Lie",0
Kevin Reynolds Robin Hood: Prince of Thieves 1991 [SEP] John Irvin Robin Hood 1990 1991 1992,0
Michael Apted The Chronicles of Narnia: The Voyage of the Dawn Treader 2010 [SEP] Michael Rowe Leap Year 2010 2011 2012,0
Terence Fisher The Mummy 1959 [SEP] Terence Fisher The Hound of the Baskervilles 1958 1959 1960,0
Mel Smith Bean 1997 [SEP] Mel Smith Bean 1996 1997 1998,1
"""Robert Rodriguez Eli Roth"" Grindhouse [SEP] 2007 ""Robert Rodriguez Eli Roth",1
