pairs,labels
"1725 3223 Lemmon Avenue, Dallas Howard Wang's Uptown (214) 954-9558 [SEP] 1260 75204 2702 McKinney AveSte 101 Jakes Uptown",(214) 754-8001
"863 El Norteno Tacos (415) 756-1220 801 Bryant Street, San Francisco, CA [SEP] 4428 San Francisco Bay Flowers (415) 643-6519 801 N Point St, San Francisco, CA 94109",0
"1833 Nature's Bakery Cooperative (608) 257-3649 1019 Williamson St, Madison, WI [SEP] 4254 Ricks Olde Gold (608) 257-7280 1314 Williamson St Frnt, Madison, WI 53703",0
"582 Chocolate Shoppe Ice Cream (608) 255-5454 468 State St, Madison, WI [SEP] 5731 Which Wich (608) 709-1094 411 State St, Madison, WI 53703",0
3949 14120 Ventura Blvd Jinky's Cafe (818) 981-2250 [SEP] 1816 91423 11616 Ventura Blvd Cocina Condesa,(818) 579-4264
"1214 Honey B (415) 221-1668 2201 Clement Street, San Francisco, CA [SEP] 1991 Good Luck Dim Sum (415) 386-3388 736 Clement St, San Francisco, CA 94118",0
"1183 Harvest (608) 255-6075 21 N Pinckney St, Madison, WI [SEP] 2142 Harvest (608) 255-6075 21 N Pinckney St, Madison, WI 53703",1
"39 ABC Seafood (213) 680-2887 205 Ord St, Los Angeles, CA [SEP] 423 BAR Ama (213) 687-8002 118 W 4th St, Los Angeles, CA 90013",0
"4945 4002 E Washington Ave, MADISON Arby's (608) 240-4427 [SEP] 2433 53704 4512 E Washington Ave Taqueria Sabor Queretano",(608) 249-0877
"4923 944 Williamson St, Madison Bahn Thai Restaurant (608) 256-0202 [SEP] 2530 53703 316 State St Parthenon Gyros Restaurant",(608) 251-6311
"1615 Lula Cafe (773) 489-9554 2537 N. Kedzie Boulevard, Chicago, IL [SEP] 3019 Lula Cafe (773) 489-9554 2537 N Kedzie Blvd, Chicago, IL 60647",1
5091 2980 Cahill Main Great Dane Pub & Brewing (608) 442-9000 [SEP] 2989 53711 3040 Cahill Main Casa Del Sol,(608) 663-8818
"1300 Jacks Stir (212) 647-0900 425 W 13th St, New York, NY [SEP] 3603 NTS News (917) 796-5264 224 W 35th St, New York, NY 10001",0
"1156 H. Salt Esquire Fish & Chips (323) 667-2653 4732 Hollywood Blvd, Los Angeles, CA [SEP] 4450 Sapp Coffee Shop (323) 665-1035 5183 Hollywood Blvd, Los Angeles, CA 90027",0
"4574 6405 Mineral Pt Rd, Madison Otto's Restaurant & Bar (608) 274-4044 [SEP] 2401 53705 6405 Mineral Point Rd Ottos Restaurant & Bar",(608) 535-6279
"2825 True Coffee Roasters (608) 277-1455 6250 Nesbitt Rd, Fitchburg, WI [SEP] 5015 Ten Pin Alley (608) 845-1010 6285 Nesbitt Rd, Fitchburg, WI 53719",0
3046 9200 W Sunset Blvd Soho House (310) 432-9200 [SEP] 1769 90069 3322 W Sunset Blvd Night + Market Song,(323) 665-5899
"2266 Roast Public House (608) 260-0088 529 State St, Madison, WI [SEP] 129 Alan Koa Salon & Spa (608) 284-1956 202 State St, Madison, WI 53703",0
"1198 Hero Shop (213) 265-7561 130 E 6th St, Los Angeles, CA [SEP] 5075 The Black Sheep (213) 689-5022 126 E 6th St, Los Angeles, CA 90013",0
"383 BRGRBELLY (773) 775-6650 5691 N. Milwaukee Avenue, Chicago, IL [SEP] 4056 Pot Pan (773) 862-6990 1362 N Milwaukee Ave, Chicago, IL 60642",0
