pairs,labels
toulouse ' b peachtree rd. ' atlanta 404/351 -9533 french 92 [SEP] ` white house restaurant ' ' 3172 peachtree rd. ne ' atlanta 404-237-7601 diners 719,0
` gallagher \ 's ' ' 228 w. 52nd st. ' ` new york ' 212/245 -5336 american 254 [SEP] ` la grenouille ' ' 3 e. 52nd st. ' ` new york city ' 212-752-1495 ` french ( classic ) ' 623,0
` center stage plaza hotel ' ' 1 main st. ' ` las vegas ' 702/386 -2512 american 436 [SEP] ` chinois on main ' ' 2709 main st. ' ` santa monica ' 310-392-9025 ` pacific new wave ' 5,0
` sa tsu ki ' ' 3043 buford hwy . ' atlanta 404/325 -5285 asian 415 [SEP] ` havana sandwich shop ' ' 2905 buford hwy . ' atlanta 404-636-4094 cuban 695,0
` pinot bistro ' ' 12969 ventura blvd. ' ` los angeles ' 818/990 -0500 french 18 [SEP] ` mulberry st. ' ' 17040 ventura blvd. ' encino 818-906-8881 pizza 580,0
` china grill ' '60 w. 53rd st. ' ` new york ' 212/333 -7788 american 219 [SEP] seryna '11 e. 53rd st. ' ` new york city ' 212-980-9393 japanese 59,0
lespinasse ' 2 e. 55th st. ' ` new york ' 212/339 -6719 american 43 [SEP] ` la caravelle ' '33 w. 55th st. ' ` new york city ' 212-586-4252 ` french ( classic ) ' 39,0
` tang pavillion ' '65 w. 55th st. ' ` new york ' 212/956 -6888 asian 356 [SEP] menchanko-tei '39 w. 55th st. ' ` new york city ' 212-247-1585 japanese 627,0
aquavit '13 w. 54th st. ' ` new york ' 212/307 -7311 continental 24 [SEP] oceana '55 e. 54th st. ' ` new york city ' 212-759-5941 seafood 50,0
abbey ' 163 ponce de leon ave. ' atlanta 404/876 -8532 international 379 [SEP] eats ' 600 ponce de leon ave. ' atlanta 404-888-9149 italian 690,0
` fifty seven fifty seven ' '57 e. 57th st. ' ` new york ' 212/758 -5757 american 239 [SEP] oceana '55 e. 54th st. ' ` new york city ' 212-759-5941 seafood 50,0
` grand cafe hotel monaco ' ' 501 geary st. ' ` san francisco ' 415/292 -0101 american 473 [SEP] ` mel \ 's drive-in ' ' 3355 geary st. ' ` san francisco ' 415-387-2244 hamburgers 739,0
` horseradish grill ' ' 4320 powers ferry rd. ' atlanta 404/255 -7277 southern 398 [SEP] ` carey \ 's corner ' ' 1215 powers ferry rd. ' marietta 770-933-0909 hamburgers 686,0
` luna si ' ' 1931 peachtree rd. ' atlanta 404/355 -5993 continental 405 [SEP] ` original pancake house ( at ) ' ' 4330 peachtree rd. ' atlanta 404-237-4116 american 708,0
bruno ' 240 e. 58th st. ' ` new york ' 212/688 -4190 italian 195 [SEP] ` les celebrites ' ' 155 w. 58th st. ' ` new york city ' 212-484-5113 ` french ( classic ) ' 42,0
eclipse ' 8800 melrose ave. ' ` los angeles ' 310/724 -5959 californian 132 [SEP] ` mo better meatty meat ' ' 7261 melrose ave. ' la 213-935-5280 hamburgers 579,0
` pacific dining car ' ' 6th st. ' ` los angeles ' 213/483 -6000 american 153 [SEP] ` andre \ 's french restaurant ' ' 401 s. 6th st. ' ` las vegas ' 702-385-5016 ` french ( classic ) ' 656,0
` rainbow room ' '30 rockefeller plaza ' ` new york ' 212/632 -5000 ` or 212/632 -5100 american ' 55 [SEP] ` rainbow room ' '30 rockefeller plaza ' ` new york city ' 212-632-5000 ` american ( new ) ' 55,1
` cafe claude ' ' 7 claude la . ' ` san francisco ' 415/392 -3505 french 97 [SEP] ` cafe claude ' ' 7 claude ln . ' ` san francisco ' 415-392-3505 ` french bistro ' 97,1
` yolie \ 's ' ' 3900 paradise rd. ' ` las vegas ' 702/794 -0700 ` steak houses ' 452 [SEP] ` nicky blair \ 's ' ' 3925 paradise rd. ' ` las vegas ' 702-792-9900 italian 668,0
` heera of india ' ' 595 piedmont ave. rio shopping mall ' atlanta 404/876 -4408 asian 83 [SEP] ` rose of india ' ' 308 e. sixth st. ' ` new york city ' 212-533-5011 indian 638,0
` l \ ` osteria del forno ' ' 519 columbus ave. ' ` san francisco ' 415/982 -1124 italian 490 [SEP] ` campo santo ' ' 240 columbus ave. ' ` san francisco ' 415-433-9623 mexican 724,0
` bertolini \ 's ' ' 3570 las vegas blvd. s ' ` las vegas ' 702/735 -4663 italian 427 [SEP] moongate ' 3400 las vegas blvd. s. ' ` las vegas ' 702-791-7352 chinese 666,0
maykadeh ' 470 green st. ' ` san francisco ' 415/362 -8286 ` greek and middle eastern ' 495 [SEP] ` greenwood \ 's ' ' 1087 green st. ' roswell 770-992-5383 southern/soul 693,0
dawat ' 210 e. 58th st. ' ` new york ' 212/355 -7555 asian 32 [SEP] petrossian ' 182 w. 58th st. ' ` new york city ' 212-245-2214 russian 52,0
` the bacchanal ' ' 3570 las vegas blvd. s ' ` las vegas ' 702/731 -7525 ` only in las vegas ' 449 [SEP] ` steak house the ' ' 2880 las vegas blvd. s. ' ` las vegas ' 702-734-0410 steakhouses 72,0
posto ' 14928 ventura blvd. ' ` sherman oaks ' 818/784 -4400 italian 156 [SEP] ` rubin \ 's red hots ' ' 15322 ventura blvd. ' encino 818-905-6515 ` hot dogs ' 590,0
` antonio \ 's ' ' 3700 w. flamingo ' ` las vegas ' 702/252 -7737 italian 423 [SEP] ` buzio \ 's in the rio ' ' 3700 w. flamingo rd. ' ` las vegas ' 702-252-7697 seafood 658,0
` ruth \ 's chris ' ' 148 w. 51st st. ' ` new york ' 212/245 -9600 american 338 [SEP] ` le bernardin ' ' 155 w. 51st st. ' ` new york city ' 212-489-1515 seafood 41,0
` tommy tang \ 's ' ' 7313 melrose ave. ' ` los angeles ' 213/937 -5733 asian 167 [SEP] patina ' 5955 melrose ave. ' ` los angeles ' 213-467-1108 californian 16,0
` circus circus ' ' 2880 las vegas blvd. s ' ` las vegas ' 702/734 -0410 buffets 437 [SEP] ` sterling brunch ' ' 3645 las vegas blvd. s. ' ` las vegas ' 702-739-4651 eclectic 673,0
` l \ ` orangerie ' ' 903 n. la cienega blvd. ' ` los angeles ' 310/652 -9770 french 11 [SEP] matsuhisa ' 129 n. la cienega blvd. ' ` beverly hills ' 310-659-9639 seafood 14,0
vong ' 200 e. 54th st. ' ` new york ' 212/486 -9592 american 373 [SEP] ` sparks steak house ' ' 210 e. 46th st. ' ` new york city ' 212-687-4855 steakhouses 641,0
` margarita \ 's mexican cantina ' ' 3120 las vegas blvd. s ' ` las vegas ' 702/794 -8200 mexican 444 [SEP] ` steak house the ' ' 2880 las vegas blvd. s. ' ` las vegas ' 702-734-0410 steakhouses 72,0
` dining room ritz-carlton buckhead ' ' 3434 peachtree rd. ' atlanta 404/237 -2700 international 90 [SEP] ` palm the ( atlanta ) ' ' 3391 peachtree rd. ne ' atlanta 404-814-1955 steakhouses 709,0
` dante \ 's down the hatch buckhead ' ' 3380 peachtree rd. ' atlanta 404/266 -1600 continental 393 [SEP] abruzzi ' 2355 peachtree rd. ne ' atlanta 404-261-8186 italian 74,0
helmand ' 430 broadway ' ` san francisco ' 415/362 -0641 ` greek and middle eastern ' 479 [SEP] ` la caridad ' ' 2199 broadway ' ` new york city ' 212-874-2780 cuban 622,0
` ralph \ 's diner ' ' 3000 las vegas blvd. s ' ` las vegas ' 702/732 -6330 ` coffee shops/diners ' 448 [SEP] ` tre visi ' ' 3799 las vegas blvd. s. ' ` las vegas ' 702-891-7331 italian 674,0
` yoyo tsumami bistro ' ' 1611 post st. ' ` san francisco ' 415/922 -7788 french 530 [SEP] postrio ' 545 post st. ' ` san francisco ' 415-776-7825 californian 109,0
seryna '11 e. 53rd st. ' ` new york ' 212/980 -9393 asian 59 [SEP] seryna '11 e. 53rd st. ' ` new york city ' 212-980-9393 japanese 59,1
` luna si ' ' 1931 peachtree rd. ' atlanta 404/355 -5993 continental 405 [SEP] ` brookhaven cafe ' ' 4274 peachtree rd. ' atlanta 404-231-5907 vegetarian 682,0
mikado ' 3400 las vegas blvd. s ' ` las vegas ' 702/791 -7111 asian 446 [SEP] ` monte carlo ' ' 3145 las vegas blvd. s. ' ` las vegas ' 702-733-4524 ` french ( new ) ' 665,0
bistro ' 3400 las vegas blvd. s ' ` las vegas ' 702/791 -7111 continental 429 [SEP] moongate ' 3400 las vegas blvd. s. ' ` las vegas ' 702-791-7352 chinese 666,0
` cafe fes ' ' 246 w. 4th st. at charles st. ' ` new york ' 212/924 -7653 mediterranean 205 [SEP] ` cafe flore ' ' 2298 market st. ' ` san francisco ' 415-621-8579 californian 722,0
mikado ' 3400 las vegas blvd. s ' ` las vegas ' 702/791 -7111 asian 446 [SEP] ` sterling brunch ' ' 3645 las vegas blvd. s. ' ` las vegas ' 702-739-4651 eclectic 673,0
` pinot bistro ' ' 12969 ventura blvd. ' ` los angeles ' 818/990 -0500 french 18 [SEP] ` rubin \ 's red hots ' ' 15322 ventura blvd. ' encino 818-905-6515 ` hot dogs ' 590,0
` masa \ 's ' ' 648 bush st. ' ` san francisco ' 415/989 -7154 french 106 [SEP] ` masa \ 's ' ' 648 bush st. ' ` san francisco ' 415-989-7154 ` french ( new ) ' 106,1
'em press court ' ' 3570 las vegas blvd. s ' ` las vegas ' 702/731 -7888 asian 438 [SEP] ` spago ( las vegas ) ' ' 3500 las vegas blvd. s. ' ` las vegas ' 702-369-6300 californian 670,0
` mesa grill ' ' 102 5th ave. between 15th and 16th sts . ' ` new york ' 212/807 -7400 american 47 [SEP] ` mesa grill ' ' 102 fifth ave. ' ` new york city ' 212-807-7400 southwestern 47,1
` chin \ 's ' ' 3200 las vegas blvd. s ' ` las vegas ' 702/733 -8899 asian 67 [SEP] ` michael \ 's ( las vegas ) ' ' 3595 las vegas blvd. s. ' ` las vegas ' 702-737-7111 continental 664,0
patina ' 5955 melrose ave. ' ` los angeles ' 213/467 -1108 californian 16 [SEP] ` mo better meatty meat ' ' 7261 melrose ave. ' la 213-935-5280 hamburgers 579,0
triangolo ' 345 e. 83rd st. ' ` new york ' 212/472 -4488 italian 363 [SEP] ` cafe lalo ' ' 201 w. 83rd st. ' ` new york city ' 212-496-6031 coffeehouses 26,0
` gilliland \ 's ' ' 2424 main st. ' ` santa monica ' 310/392 -3901 american 135 [SEP] ` chinois on main ' ' 2709 main st. ' ` santa monica ' 310-392-9025 ` pacific new wave ' 5,0
` nikolai \ 's roof ' ' 255 courtland st. at harris st. ' atlanta 404/221 -6362 continental 87 [SEP] ` nikolai \ 's roof ' ' 255 courtland st. ' atlanta 404-221-6362 continental 87,1
dawat ' 210 e. 58th st. ' ` new york ' 212/355 -7555 asian 32 [SEP] ` sparks steak house ' ' 210 e. 46th st. ' ` new york city ' 212-687-4855 steakhouses 641,0
` le bernardin ' ' 155 w. 51st st. ' ` new york ' 212/489 -1515 french 41 [SEP] ` le bernardin ' ' 155 w. 51st st. ' ` new york city ' 212-489-1515 seafood 41,1
