pairs,labels
Lewis Teague Alligator 1980 [SEP] Lewis Teague Alligator 1979 1980 1981,1
"Patrick Tatopoulos Underworld: Rise of the Lycans 2009 [SEP] Milan Konjevic,Milan Todorovic Zone of the Dead 2008 2009 2010",0
Edward L. Cahn Beauty and the Beast 1962 [SEP] Roger Corman Pit and the Pendulum (The Pit and the Pendulum) 1960 1961 1962,0
Michael Bay Bad Boys II 2003 [SEP] Michael Mann Collateral 2003 2004 2005,0
"Jason Friedberg,Aaron Seltzer The Starving Games 2013 [SEP] Jeremy Snead Video Games: The Movie 2013 2014 2015",0
Randall Wallace The Man in the Iron Mask 1998 [SEP] Brad Bird The Iron Giant 1998 1999 2000,0
"Newt Arnold Bloodsport 1988 [SEP] Frank Kerr,Peter Maris True Blood 1988 1989 1990",0
Cecil B. DeMille The Greatest Show on Earth 1952 [SEP] Cecil B. DeMille The Greatest Show on Earth 1951 1952 1953,1
Wen-Han Shih Reaper 2014 [SEP] Wen-Han Shih Reaper 2014 2015 2016,1
Roy William Neill The Spider Woman 1944 [SEP] Roy William Neill Sherlock Holmes and the Woman in Green 1944 1945 1946,0
Ian Corson Malicious 1995 [SEP] Ian Corson Malicious 1994 1995 1996,1
Mary Harron American Psycho 2000 [SEP] Sam Mendes American Beauty 1998 1999 2000,0
Craig Gillespie The Finest Hours 2015 [SEP] Wes Anderson The Grand Budapest Hotel 2013 2014 2015,0
Steven Spielberg 1941 1979 [SEP] Steven Spielberg 1941 1978 1979 1980,1
Ben Stiller The Cable Guy 1996 [SEP] Andrew Fleming The Craft 1995 1996 1997,0
"Barrett J. Leigh,Thom Maurer Beyond the Wall of Sleep 2006 [SEP] Lisandro Perez-Rey Beyond the Sea 2004 2005 2006",0
"Stanley Kramer It's a Mad, Mad, Mad, Mad World 1963 [SEP] Stanley Kramer It's a Mad, Mad, Mad, Mad World 1962 1963 1964",1
"Dwight H. Little Halloween 4: The Return of Michael Myers 1988 [SEP] Dwight H. Little,Mark Cullingham Halloween 4: The Return of Michael Myers 1987 1988 1989",1
Ti West The House of the Devil 2009 [SEP] Louis Leterrier Clash of the Titans 2009 2010 2011,0
"John R. Cherry III Ernest Goes to Jail 1990 [SEP] John Cherry,John R. Cherry III Ernest Scared Stupid 1990 1991 1992",0
George Roy Hill Slaughterhouse-Five 1972 [SEP] George Roy Hill Slaughterhouse-Five 1971 1972 1973,1
Klay Hall Planes 2013 [SEP] Klay Hall Planes 2012 2013 2014,1
John Landis Innocent Blood 1992 [SEP] John Landis Innocent Blood 1991 1992 1993,1
Eric England Contracted 2013 [SEP] Eric England Contracted 2012 2013 2014,1
Eric Schaeffer Mind the Gap 2004 [SEP] Kevin Spacey Beyond the Sea 2003 2004 2005,0
Thom Eberhardt Night of the Comet 1984 [SEP] Fritz Kiersch Children of the Corn 1983 1984 1985,0
John Ford Fort Apache 1948 [SEP] John Ford Fort Apache 1947 1948 1949,1
Paul W.S. Anderson Soldier 1998 [SEP] Paul Thomas Anderson Magnolia 1998 1999 2000,0
"Barry Cook,Neil Nightingale Walking with Dinosaurs 3D 2013 [SEP] Neil Nightingale,Pierre De Lespinios,Barry Cook Walking With Dinosaurs 2012 2013 2014",1
"John G. Blystone,Buster Keaton Our Hospitality 1923 [SEP] John G. Blystone The Last Man on Earth 1923 1924 1925",0
Michael Crum Cypress Creek 2014 [SEP] Michael Bay Transformers: Age of Extinction 2013 2014 2015,0
Daniel Anghelcev The Second Coming of Christ 2016 [SEP] Jon M. Chu Now You See Me: The Second Act 2015 2016 2017,0
George A. Romero Diary of the Dead 2007 [SEP] George A. Romero Diary of the Dead 2006 2007 2008,1
Peter Segal 50 First Dates 2004 [SEP] Forest Whitaker First Daughter 2003 2004 2005,0
"Victor Fleming,George Cukor Gone with the Wind 1939 [SEP] George Cukor Holiday 1937 1938 1939",0
"Elia Kazan A Face in the Crowd 1957 [SEP] Ben Hecht,Rudolph Mat Miracle in the Rain 1955 1956 1957",0
F. Gary Gray Straight Outta Compton 2015 [SEP] F. Gary Gray Friday 20th Anniversary 2014 2015 2016,0
"Norman Ferguson,James Algar Fantasia 1940 [SEP] Deems Taylor,Hugh Douglas,Julietta Novis,Leopold Stokowski,James Algar,Mickey Mouse,Samuel Armstrong,Ford Beebe,Walt Disney,Norman Ferguson,Jim Handley,Wilfred Jackson,Hamilton Luske,Bill Roberts,Paul Satterfield,T. Hee,Bianca Majolie,Ben Sharpsteen,Norman Wright,Albert Heath,Ford I. Beebe,Sylvia Moberly-Holland,Graham Heid Fantasia 1939 1940 1941",1
"Tom Stern,Alex Winter Freaked 1993 [SEP] Stephen Tolkin Daybreak 1992 1993 1994",0
