pairs,labels
triangolo' 345 e. 83rd st. '` new york '212/472 -4488italian363 [SEP] ` cafe lalo '' 201 w. 83rd st. '` new york city '212-496-6031coffeehouses26,0
'em press court '' 3570 las vegas blvd. s '` las vegas '702/731 -7888asian438 [SEP] ` buccaneer bay club '' 3300 las vegas blvd. s. '` las vegas '702-894-7350continental657,0
` cafe bizou '' 14016 ventura blvd. '` sherman oaks '818/788 -3536french3 [SEP] ` mulberry st. '' 17040 ventura blvd. 'encino818-906-8881pizza580,0
` mifune japan center kintetsu building '' 1737 post st. '` san francisco '415/922 -0337asian107 [SEP] postrio' 545 post st. '` san francisco '415-776-7825californian109,0
remi' 3rd st. promenade '` santa monica '310/393 -6545italian159 [SEP] ` benita \ 's frites '' 1433 third st. promenade '` santa monica '310-458-2889` fast food '538,0
` margarita \ 's mexican cantina '' 3120 las vegas blvd. s '` las vegas '702/794 -8200mexican444 [SEP] ` steak house the '' 2880 las vegas blvd. s. '` las vegas '702-734-0410steakhouses72,0
palisades' 1829 peachtree rd. 'atlanta404/350 -6755continental410 [SEP] ` brookhaven cafe '' 4274 peachtree rd. 'atlanta404-231-5907vegetarian682,0
' 9 jones street '' 9 jones st. '` new york '212/989 -1220american173 [SEP] ` dottie \ 's true blue cafe '' 522 jones st. '` san francisco '415-885-2767diners727,0
` palace court '' 3570 las vegas blvd. s '` las vegas '702/731 -7547continental70 [SEP] ` steak house the '' 2880 las vegas blvd. s. '` las vegas '702-734-0410steakhouses72,0
felidia' 243 e. 58th st. '` new york '212/758 -1479italian33 [SEP] ` lespinasse ( new york city ) '' 2 e. 55th st. '` new york city '212-339-6719asian43,0
` margarita \ 's mexican cantina '' 3120 las vegas blvd. s '` las vegas '702/794 -8200mexican444 [SEP] ` spago ( las vegas ) '' 3500 las vegas blvd. s. '` las vegas '702-369-6300californian670,0
` margarita \ 's mexican cantina '' 3120 las vegas blvd. s '` las vegas '702/794 -8200mexican444 [SEP] ` morton \ 's of chicago ( las vegas ) '' 3200 las vegas blvd. s. '` las vegas '702-893-0703steakhouses667,0
eclipse' 8800 melrose ave. '` los angeles '310/724 -5959californian132 [SEP] ` le chardonnay ( los angeles ) '' 8284 melrose ave. '` los angeles '213-655-8880` french bistro '12,0
ferrier'29 e. 65th st. '` new york '212/772 -9000french238 [SEP] ` john \ 's pizzeria ''48 w. 65th st. '` new york city '212-721-7001pizza618,0
` heera of india '' 595 piedmont ave. rio shopping mall 'atlanta404/876 -4408asian83 [SEP] ` heera of india '' 595 piedmont ave. 'atlanta404-876-4408indian83,1
` bertolini \ 's '' 3570 las vegas blvd. s '` las vegas '702/735 -4663italian427 [SEP] ` monte carlo '' 3145 las vegas blvd. s. '` las vegas '702-733-4524` french ( new ) '665,0
` le bernardin '' 155 w. 51st st. '` new york '212/489 -1515french41 [SEP] ` les celebrites '' 155 w. 58th st. '` new york city '212-484-5113` french ( classic ) '42,0
` coyote cafe '' 3799 las vegas blvd. s '` las vegas '702/891 -7349southwestern68 [SEP] ` tre visi '' 3799 las vegas blvd. s. '` las vegas '702-891-7331italian674,0
ciboulette' 1529 piedmont ave. 'atlanta404/874 -7600french79 [SEP] ` heera of india '' 595 piedmont ave. 'atlanta404-876-4408indian83,0
dawat' 210 e. 58th st. '` new york '212/355 -7555asian32 [SEP] ` les celebrites '' 155 w. 58th st. '` new york city '212-484-5113` french ( classic ) '42,0
` island spice '' 402 w. 44th st. '` new york '212/765 -1737` tel caribbean '37 [SEP] ` island spice '' 402 w. 44th st. '` new york city '212-765-1737caribbean37,1
` chin \ 's '' 3200 las vegas blvd. s '` las vegas '702/733 -8899asian67 [SEP] ` buccaneer bay club '' 3300 las vegas blvd. s. '` las vegas '702-894-7350continental657,0
'em press court '' 3570 las vegas blvd. s '` las vegas '702/731 -7888asian438 [SEP] ` palace court '' 3570 las vegas blvd. s. '` las vegas '702-731-7110` french ( new ) '70,0
` morton \ 's '' 8764 melrose ave. '` los angeles '310/276 -5205american148 [SEP] ` mo better meatty meat '' 7261 melrose ave. 'la213-935-5280hamburgers579,0
` manhattan ocean club ''57 w. 58th st. '` new york '' 212 / 371-7777 'seafood45 [SEP] petrossian' 182 w. 58th st. '` new york city '212-245-2214russian52,0
toulouse' b peachtree rd. 'atlanta404/351 -9533french92 [SEP] ` original pancake house ( at ) '' 4330 peachtree rd. 'atlanta404-237-4116american708,0
` cafe ritz-carlton buckhead '' 3434 peachtree rd. 'atlanta404/237 -2700` ext 6108 international '89 [SEP] nava' 3060 peachtree rd. 'atlanta404-240-1984southwestern706,0
oceana'55 e. 54th st. '` new york '212/759 -5941seafood50 [SEP] oceana'55 e. 54th st. '` new york city '212-759-5941seafood50,1
boulevard' 1 mission st. '` san francisco '415/543 -6084american96 [SEP] boulevard' 1 mission st. '` san francisco '415-543-6084` american ( new ) '96,1
` yolie \ 's '' 3900 paradise rd. '` las vegas '702/794 -0700` steak houses '452 [SEP] ` rae \ 's '' 2901 pico blvd. '` santa monica '310-828-7937diners589,0
