pairs,labels
advanced xml data processing - guest editor 's introductionk aberersigmod record2001 [SEP] guest editor 's introduction : new vlsi toolsdd gajski  r kuhnieee computer ,0
editor 's notesj widomsigmod record1996 [SEP] editor 's notesr goldsteinthe american statistician 1996.0,0
m-tree : an efficient access method for similarity search in metric spacesp ciaccia  m patella  p zezulavldb1997 [SEP] the r * - tree : an efficient and robust acess method for points and rectangulesn backmannacm sigmod ,0
static detection of security flaws in object-oriented databasesk tajimasigmod conference1996 [SEP] schema evolution in object-oriented database systemsgt nguyen  d rieudata & knowledge engineering 1989.0,0
panel : is generic metadata management feasible ?p bernstein  l haas  m jarke  e rahm  g wiederholdvldb2000 [SEP] is generic metadata management feasible ?p bernsteinpowerpointfolien  panel session model managing project  & hellip ; ,1
an introduction to spatial database systemsr gќtingvldb j.1994 [SEP] transaction restarts in prolog database systemss acharya  gn buckley,0
xpath processing in a nutshellg gottlob  c koch  r pichlersigmod record2003 [SEP] uml in a nutshelss alhir,0
structures for manipulating proposed updates in object-oriented databasesm doherty  r hull  m rupawallasigmod conference1996 [SEP] pointer-based join techniques for object-oriented databasesdf lieuwen  dj dewitt  m mehta,0
mining quantitative association rules in large relational tablesr srikant  r agrawalsigmod conference1996 [SEP] mining association rules in hypertext databasesj borges  m levenern 1999.0,0
the araneus web-base management systemg mecca  p atzeni  a masci  p merialdo  g sindonisigmod conference1998 [SEP] transaction management in the r * distributed database management systemc mohan  b lindsay  r obermarckacm transactions on database systems 1986.0,0
query rewriting for semistructured datay papakonstantinou  v vassalossigmod conference1999 [SEP] capturing and querying multiple aspects of semistructured datace dyreson  mh bohlen  cs jensenproceedings of the international conference on very large & hellip ; 1999.0,0
querying multi-dimensional data indexed using the hilbert space-filling curvej lawder  p kingsigmod record2001 [SEP] querying multidimensional databasesl cabibbo  r torlone,0
e-services - guest editorial2001 [SEP] editorialj harmer  j turnbullbt technology journal 2002.0,0
query optimization for selections using bitmapsm wusigmod conference1999 [SEP] query optimizationfor semistructured datajmhj widomtechnical report  stanford university database group  november,0
infering structure in semistructured datas nestorov  s abiteboul  r motwanisigmod record1997 [SEP] semistructured and structured data in the web : going back and forthp merialdo  p atzeni  g mecca& hellip ; the management of semistructured data ( in conjunction with & hellip ; ,0
repositories and object oriented databasesp bernsteinsigmod record1998 [SEP] a query model for object-oriented databasesw krmproceedings of the international conference on very large,0
efficient algorithms for mining outliers from large data setss ramaswamy  r rastogi  k shimsigmod conference2000 [SEP] efficient algorithms for discovering association rulesh mannila  h toivonen,0
a foundation for multi-dimensional databasesm gyssens  l lakshmananvldb1997 [SEP] on effective multi-dimensional indexing for stringshv jagadishsigmod conference 2000.0,0
multimediaminer : a system prototype for multimedia data miningo zaяane  j han  z li  s chee  j chiangsigmod conference1998 [SEP] multimedia-miner : a system prototype formultimedia data miningor zaiane  j hanâ ? ¦proc . of1998acm sigmod conf on management of data . seattle ,1
mining generalized association rulesr srikant  r agrawalvldb1995 [SEP] fast algorithms for mining generalized association rulesr agrawal  r srikantproceedings of the 20th international conference on very & hellip ; ,0
agent-oriented software engineering report on the 4th aose workshop ( aose 2003 )2003 [SEP] agent-oriented software engineeringnr jenningsâ ? ¦lecture notes in computer science 1999.0,0
implementation of magic-sets in a relational database systemi mumick  h piraheshsigmod conference1994 [SEP] incomplete information in relational databasest imieliã?nski  w lipskij. acm ,0
declustering databases on heterogeneous disk systemsl chen  d rotem  s seshadrivldb1995 [SEP] j.  and ram  e hydro : a heterogeneous distributed database systemwr perrizoproceedings of the acm,0
sampling large databases for association rulesh toivonenvldb1996 [SEP] efficient parallel data mining for association rulesjs park  ms chen  ps yuâ ? ¦,0
database research at arizona state universitys urban  s dietrich  f golshanisigmod record1996 [SEP] database research activities at the university of wisconsinh boral  dj dewitt  rh katz  a klugacm sigmod record 1982.0,0
semantics for update rule programs and implementations in a relational database management systeml raschid  j loboacm trans . database syst .1996 [SEP] set-oriented production rules in relational database systemsportal.acm.org,0
converting relational to object-oriented databasesj fongsigmod record1997 [SEP] metu object-oriented database system  demo descriptiona dogacproceedings of acm sigmod intl. conf . on management of data  & hellip ; ,0
an automated system for web portal personalizationc aggarwal  p yuvldb2002 [SEP] an authorization system for digital librariese ferrari  nr adam  v atluri  e bertino  uthe vldb journal the international journal on very large & hellip ; 2002.0,0
