pairs,labels
"""GoPro Rechargeable Battery (for HERO4 Black/HERO4 Silver) (GoPro Official Accessory)""@en-US ""Accessories - Page 985 | EISF""@en-US [SEP] ""Knog lights Qudos Action Video Light for GoPro Silver"" Scubastore"" Silver kopen en aanbiedingen",0
"""ALPHA 6000 + 16-50 55-210 NOIR"" [SEP] ""Sony - Alpha a6000 Mirrorless Camera with 16-50mm and 55-210mm Lenses Black""@en-US",1
"""GoPro The Handler - support system shooting grip"" "" GoPro grip AFHGM-001 Digital Camera Accessories CDWG.com [SEP] ""GoPro Floating Hand Grip Action Camera Mount""@en Mount LN68139 - AFHGM-001 | SCAN UK""@en",1
"""GoPro HERO4 BLACK""@en-US ""Sports & Action Video Cameras - Page 2 | Come As You Arts""@en-US [SEP] ""GoPro Camera HERO+ LCD HD Video Recording Camera"" ""Sports & Action Cameras | Gear Outlet""",0
"""Canon EOS Rebel SL1 Kit""@en "" Canon Kit Compact 18-megapixel digital SLR camera with hybrid autofocus and 18-55mm STM zoom lens at Crutchfield.com ""@en [SEP] ""Canon EOS Rebel T3 Kit""@en "" Canon Kit 12.2-megapixel digital SLR camera with 18-55mm lens & HD movie mode at Crutchfield.com ""@en",0
""" Manfrotto Pro Backpack 30 ""@en - Optics4Birding [SEP] ""Manfrotto Pro Light Camera Backpack 3N1-26 for DSLR/CSC/C100""@en DSLR/CSC/C100 MB PL-3N1-26 - Studio Depot""@en",0
"""Canon Rebel T7i with 18-55mm IS STM Lens""@en Lens | McBain Camera Canada""@en [SEP] ""Canon EOS 5D Mark IV Digital SLR Camera Body Only""@en "" Search Results at Unique Photo ""@en",0
"""Canon PowerShot SX540 HS - Digitalkamera 20,3 MP CMOS 4,3 mm-215 mm Display: 7,6 cm/3"" TFT Schwarz""@de 20 6 3 7 4 [SEP] ""Canon PowerShot SX510 HS 12.1 MP CMOS Digital Camera"" Camera - Ad#: 4679394 Addoway""",0
""" Rechargeable Lithium Ion Battery  ""@en, VW-VBK360 ""@en ""Panasonic - Battery""@en [SEP] "" Panasonic VW-VBK360 Li-Ion Battery Pack ""@en-US ""Panasonic | Come As You Arts""@en-US",1
"""Sigma Zoom Telephoto 70-300mm f/4-5.6 DG Macro Autofocus Lens for Nikon AF""@en AF - Fumfie.com""@en [SEP] ""Sigma 70-300mm F4-5.6 DG Macro (Nikon) - Prijzen ""@NL Tweakers""@NL",1
"""Canon EOS Rebel T5 with 18-55mm and 75-300mm Lenses""@en-US ""Digital Cameras - Page 18 | EISF""@en-US [SEP] ""Sony A3000 Mirrorless Digital Camera with 18-55mm Lens""@en-US ""Digital Cameras - Page 11 | EISF""@en-US",0
"""Canon BG-E11 - battery grip"" "" Canon grip 5261B001 Digital Camera Accessories CDWG.com [SEP] ""Canon BG-E16 - battery grip"" "" Canon grip 9130B001 Digital Camera Accessories CDW.com",0
"""Wi Fi Pan Tilt Day Night Camera""@fi ""DCS-5000L Wi Camera | D-Link Finland""@fi [SEP] "" HD Pan & Tilt Wi-Fi Day/Night Camera""@de ""DCS-5030L Camera | D-Link Deutschland""@de",0
"""NETGEAR - Adjustable Mount for Most Arlo Security Cameras White""@en-US [SEP] ""NETGEAR - Arlo Smart Home Indoor/Outdoor Wireless High-Definition IP Security Cameras (3-Pack) White/Black""@en-US",0
"""HD Wireless N Day/Night Outdoor Cloud Camera""@sq ""DCS-2330L HD Camera | D-Link""@sq [SEP] ""HD Wireless Cloud Camera""@nl ""DCS-2132L HD Camera | D-Link""@nl",0
""" Manfrotto MVH500AH Pro Fluid Head Flat Base ""@en - Optics4Birding [SEP] ""Manfrotto MVH500AH, 755CX3 Tripod Kit""@en - Filmtools""@en MVH500AH Kit",0
"""Sony SEL55210 55-210mm f/4.5-6.3""@en "" Sony f/4.5-6.3 (Silver) Telephoto zoom lens for APS-C sensor E-mount mirrorless cameras at Crutchfield.com ""@en [SEP] ""Sony SEL1670Z 16-70mm f/4""@en "" Sony f/4 Zoom lens for APS-C sensor E-mount mirrorless cameras at Crutchfield.com ""@en",0
"""Canon EOS BG-E14 Batterij Grip 70D/80D - Prijzen ""@NL Tweakers""@NL [SEP] ""Sony Tripod VCT-R100 - Prijzen ""@NL Tweakers""@NL",0
"""Sony Cyber-shot® DSC-RX100""@en "" Sony DSC-RX100 Large-sensor compact digital camera with 20.2-megapixels and an f/1.8 Carl Zeiss® lens at Crutchfield.com ""@en [SEP] ""Camera IP Microtech EPC-HD811AR2""@vi EPC-HD811AR2 - TRAMYSHOP.COM""@vi",0
"""Panasonic H-FS014045 Lens""@en "" Panasonic Lens 14-45mm zoom lens for compact hybrid cameras at Crutchfield.com ""@en [SEP] ""Canon EF 24-70mm f/4L IS USM Lens""@en "" Canon Lens Zoom lens with image stabilization for all EOS cameras at Crutchfield.com ""@en",0
"""Smart Home Security Kit""@hu ""DCH-107KT Smart Kit | D-Link""@hu [SEP] ""Netgear Arlo Smart Home Security Kit""@en Security""@en",0
"""Logitech HD Webcam C310""@en-US ""Cables & Cords | All Tech Toys""@en-US [SEP] ""Outdoor HD Wireless Day/Night Cloud Camera""@sq ""DCS-2332L Outdoor Camera | D-Link""@sq",0
"""Canon EF 70-200mm f/2.8L IS II USM Lens""@en Lens 2751B002 - Studio Depot""@en [SEP] ""Used Canon EF 24-70mm f/2.8L II USM Lens L - Excellent""@en "" Used Lenses | Unique Photo ""@en",0
"""Logitech C930e 1920 x 1080pixels USB Black webcam"" ""Product data Logitech webcam webcams (960-000971)"" [SEP] ""Logitech HD Webcam C930e"" "" Logitech C930e - 960-000971 Webcams CDWG.com",1
"""GoPro HDMI Cable""@en Cable AHDMC-301 - Filmtools""@en [SEP] ""GoPro HERO5 CHDHX-501 - Black""@en Black The Open Box Store""@en",0
"""Logitech HD Webcam C930e"" "" Logitech C930e - 960-000971 Webcams CDWG.com [SEP] ""Logitech C615 HD Webcam""@en-US ""Computer Accessories & Peripherals - Page 796 | 5 Free Hosting""@en-US",0
"""Transcend 4GB Secure Digital High-Capacity(SDHC) Class 2 SDHC Flash Memory"" ""Product data Transcend Memory memory cards (TS4GSDHC)"" [SEP] ""Canon VIXIA HF R30 (HFR30) Flash Memory Camcorder""@en Camcorder - Fumfie.com""@en",0
"""Panasonic Lumix TS20 16.1 MP TOUGH Waterproof Digital Camera with 4x Optical Zoom (Blue) (OLD MODEL)""@en-US ""Cameras | EISF""@en-US [SEP] ""Sony Semi-Hard LCD Screen Protector for A7 or A7R Digital Camera""@en "" Miscellaneous Accessories | Unique Photo ""@en",0
