pairs,labels
Great Dane Pub & Brewing (608) 442-9000 2980 Cahill Main [SEP] Casa Del Sol (608) 663-8818 3040 Cahill Main,0
"JD's (608) 444-1590 N Broom St & State St, Madison, WI [SEP] Kelly E.'s review of Urban Outfitter (608) 258-8818 604 State St, Madison, WI 53703",0
"St. Vincent (415) 285-1200 1270 Valencia Street, San Francisco, CA [SEP] Pica Pica Arepa Kitchen (415) 400-5453 401 Valencia St, San Francisco, CA 94103",0
"Falling Water Cafe (608) 831-2000 1313 John Q Hammons Dr, Middleton, WI [SEP] Falling Water Cafe (608) 831-2000 1313 John Q Hammons Dr, Middleton, WI 53562",1
"Bean & Bean (212) 422-8083 71 Broadway, New York, NY [SEP] New Wong Rest (646) 878-9474 103 E Broadway, New York, NY 10002",0
Cafe Talesai (310) 271-9345 9198 W Olympic Blvd [SEP] Butchers Dog (310) 444-2929 11301 W Olympic Blvd,0
Sushi Axiom (214) 828-2288 2323 N Henderson Avenue [SEP] Mesero - Henderson (214) 821-6426 2822 N Henderson Ave,0
BOA Steakhouse (310) 278-2050 9200 W Sunset Blvd [SEP] Mohawk Bend (213) 483-2337 2141 W Sunset Blvd,0
"Milio's Sandwiches (608) 301-9999 5534 Eastpark Blvd, Madison, WI [SEP] Milios Sandwiches (608) 245-2700 5534 Eastpark Blvd, Madison, WI 53718",1
"El Salsabor Restaurant (323) 266-1400 522 S Lorena St, Los Angeles, CA [SEP] Beau Ideal House of Beauty (323) 369-6904 714 S Los Angeles St, Los Angeles, CA 90014",0
"El Taco Loco #2 (415) 282-7018 3274 24th Street, San Francisco, CA [SEP] Local Mission Eatery (415) 655-3422 3111 24th St, San Francisco, CA 94110",0
"Fosdal Home Bakery (608) 873-3073 243 E Main St, Stoughton, WI [SEP] Elsings 2nd Hand Shop (608) 873-8997 421 E Main St, Stoughton, WI 53589",0
"Brocach Irish Pub (608) 255-2015 7 W Main St, Madison, WI [SEP] Good Food (608) 217-5227 33 E Main St, Madison, WI 53703",0
"DaLat Restaurant and Bar (214) 827-3200 2537 N Fitzhugh Avenue, Dallas [SEP] 504 Bar and Grill (469) 779-7279 2121 Greenville Ave",0
"Wasabi Japanese Restaurant (608) 255-5020 449 State St Ste 2G, Madison [SEP] Bahn Thai Restaurant (608) 256-0202 944 Williamson St",0
"The Libertine Bar (214) 824-7900 2101 Greenville Avenue, Dallas [SEP] Aw Shucks (214) 821-9449 3601 Greenville Ave",0
"Crossroads Cafe (608) 262-5038 1000 Bascom Mall, Madison, WI [SEP] Crossroads Cafe (608) 262-5038 1000 Bascom Mall, Madison, WI 53706",1
"Hugo's Frog Bar & Fish House (312) 640-0999 1024 N. Rush Street, Chicago [SEP] Shaws Crab House (312) 527-2722 21 E Hubbard St",0
The Griddle Cafe (323) 874-0377 7916 W Sunset Blvd [SEP] The Carving Board (323) 845-4550 7300 Sunset Blvd,0
"Fish Bar (773) 687-8177 2956 N. Sheffield Avenue, Chicago [SEP] Fish Bar (773) 687-8177 2956 N Sheffield Ave",1
"Osaka House (608) 819-8855 505 State St, Madison [SEP] Johnson Public House (608) 347-0483 908 E Johnson St",0
"BBQ Chicken (213) 739-1047 698 S Vermont Ave # 101, Los Angeles, CA [SEP] Dok Dok Chicken (213) 351-9963 401 S Vermont Ave, Los Angeles, CA 90020",0
"Sambuca's Cafe (212) 431-0408 105 Mulberry Street, New York [SEP] Sharkeys Cafe (212) 804-8183 48 Mulberry St",0
The Great Outdoors (214) 739-1928 6918 Greenville Avenue [SEP] Johns Cafe (214) 874-0800 1733 Greenville Ave,0
Borland's (608) 424-3013 119 W Main St [SEP] Brocach (608) 255-2015 7 W Main St,0
"Lao Laan (608) 280-0104 1146 Williamson St, Madison, WI [SEP] Lazy Janes (608) 257-5263 1358 Williamson St, Madison, WI 53703",0
"Cafe La Bellitalia (608) 243-1200 1026 N Sherman Ave, Madison [SEP] Olive Garden Italian Restaurant (608) 249-0340 4320 E Towne Blvd",0
"Samba Grill Cafe (213) 749-0260 735 E 12th St, Los Angeles, CA [SEP] BAR Ama (213) 687-8002 118 W 4th St, Los Angeles, CA 90013",0
Snicks Sportsman Bar (608) 661-2812 4605 Monona Dr [SEP] El Bolillo Bakery (608) 819-6560 4544 Monona Dr,0
"Chocolate Shoppe Ice Cream (608) 255-5454 468 State St, Madison, WI [SEP] Pita Pit (608) 819-6722 449 State St, Madison, WI 53703",0
Izakaya By Mr Koji (323) 465-6339 6801 Hollywood Blvd [SEP] The Backyard at 4518 (323) 702-9141 4518 Hollywood Blvd,0
Red Robin Gourmet Burgers (608) 223-1390 6522 Monona Dr [SEP] La Rosita Latina Grocery Store (608) 221-2203 6005 Monona Dr,0
"Desi Deli (212) 399-9007 724 10th Avenue, New York, NY [SEP] Marquee New York (646) 473-0202 289 10th Ave, New York, NY 10001",0
"New Seoul Korean Restaurant (608) 829-3331 721 N High Point Rd, Madison [SEP] New Seoul Korean (608) 829-3331 721 N High Point Rd",1
"New Fortune Dim Sum And Cafe (415) 399-1511 811 Stockton Street, San Francisco, CA [SEP] New Golden Daisy (415) 392-0111 1041 Stockton St, San Francisco, CA 94108",0
Pinches Tacos (323) 650-0614 8200 W Sunset Blvd [SEP] Sage Organic Vegan Bistro (213) 989-1718 1700 Sunset Blvd,0
"The Buena Vista (415) 474-5044 2765 Hyde Street, San Francisco, CA [SEP] Buena Vista Cafe (415) 474-5044 2765 Hyde St, San Francisco, CA 94109",1
Hot N Juicy Crawfish (323) 969-8902 7100 Santa Monica Blvd [SEP] Churros Calientes (424) 248-3890 11521 Santa Monica Blvd,0
"The Little Door (323) 951-1210 8164 W 3rd St, Los Angeles, CA [SEP] Spear Steak & Seafood House (213) 688-3000 800 W 6th St, Los Angeles, CA 90017",0
"Winton Deli (510) 786-2444 2042 W Winton Avenue, Hayward, CA [SEP] Winton Deli Cafe (510) 786-2444 2042 W Winton Ave, Hayward, CA 94545",1
"Pantheon Bar (608) 251-6311 316 State St, Madison [SEP] Parthenon Gyros Restaurant (608) 251-6311 316 State St",1
"Cooper's Tavern (608) 256-1600 20 W. Mifflin, Madison [SEP] The Plaza Tavern (608) 255-6592 319 N Henry St",0
"Bahn Thai Restaurant (608) 256-0202 944 Williamson St, Madison [SEP] Eldorado Grill (608) 280-9378 744 Williamson St",0
Taste on Melrose (323) 852-6888 8454 Melrose Ave [SEP] Guadalupes Place (323) 462-3329 5028 Melrose Ave,0
"Bean & Bean (212) 422-8083 71 Broadway, New York, NY [SEP] Blue Fin (212) 918-1400 1567 Broadway, New York, NY 10036",0
